Season,Timeslot (ET),Premiered,Premiered,Ended,Ended,TV Season,Rank,"Viewers
(in millions)"
Season,Timeslot (ET),Date,"Premiere
Viewers
(in millions)",Date,"Finale
Viewers
(in millions)",TV Season,Rank,"Viewers
(in millions)"
1,"Wednesday 8:00 pm (October 11 – November 1, 2006)
Thursday 9:30 pm (November 16, 2006 – March 8, 2007)
Thursday 9:00 pm (April 5–26, 2007)","October 11, 2006",8.13,"April 26, 2007",4.72,2006–2007,#102,5.8
2,"Thursday 8:30 pm (October 4, 2007 – April 17, 2008)
Thursday 9:00 pm (December 13, 2007)
Thursday 9:30 pm (April 24 – May 8, 2008)","October 4, 2007",7.33,"May 8, 2008",5.45,2007–2008,#111,6.5
3,"Thursday 9:30 pm (October 30, 2008 – May 14, 2009)","October 30, 2008",8.66,"May 14, 2009",5.70,2008–2009,#69,7.5
4,"Thursday 9:30 pm (October 15, 2009 – May 20, 2010)
Thursday 9:00 pm (January 14, 2010)
Thursday 8:30 pm (April 22, 2010)","October 15, 2009",6.39,"May 20, 2010",5.36,2009–2010,#86,5.9
5,"Thursday 8:30 pm (September 23 – December 9, 2010)
Thursday 10:00 pm (January 20 – May 5, 2011)
Thursday 10:30 pm (April 28, 2011)","September 23, 2010",5.91,"May 5, 2011",4.20,2010–2011,#106,5.3
6,"Thursday 8:00 pm (January 12 – March 8, 2012)
Thursday 9:00 pm (January 26, 2012)
Thursday 8:30 pm (March 15 – May 17, 2012)","January 12, 2012",4.47,"May 17, 2012",2.84,2011–2012,#130,4.6
7,"Thursday 8:00 pm (October 4, 2012 – January 31, 2013)
Wednesday 8:00 pm (October 31, 2012)","October 4, 2012",3.46,"January 31, 2013",4.88,2012–2013,#99,4.6
